english,uzbek,part_of_speech,cefr,cefr_source,source_name,source_license,source_ref
a,amper,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108363
vainglorious,shuhratparast,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i10368
vainglory,manmanlik|mag'rurlik|kekkayishlik|shuhratparastlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62671
vainly,bekor|behuda|foydasiz|nalijasiz,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i19278
valance,me'nioi|to'r hoshiya,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i52381
valance board,me'nioi|to'r hoshiya,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i52381
vale,uva|vodiy,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i86379
valediction,xayrlashuv nulqi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74737
valedictory,xayrlashuv nulqi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74737
valedictory address,xayrlashuv nulqi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74737
valedictory oration,xayrlashuv nulqi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74737
valence,valentlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63459|i63461
valency,valentlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63459|i63461|i97686
valentine,dildan sevilgan,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i93882
valet,nazokatli odam|nozik muomalali|aviatsiya oddiy askari,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i93883
valet de chambre,nazokatli odam|nozik muomalali|aviatsiya oddiy askari,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i93883
valetudinarian,dardchil|kasalmand|tez-lez kasal bo'lib turadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16004
valetudinarianism,zaiflik|nosogdik|kuchsizlik|dardchillik|kasalmandlik|dar-monsizlik|quv-vatsizlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i113452
valetudinary,dardchil|kasalmand|tez-lez kasal bo'lib turadigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16004
valhalla,panteon,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i66489
valiance,jasoral|jasorat|mardlik|bolirlik|botirlik|dadillik|jasurlik|dovyuraklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62515
valiancy,jasoral|jasorat|mardlik|bolirlik|botirlik|dadillik|jasurlik|dovyuraklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62515
valiant,mard|bolir|jasur|dovyurak,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1482
valid,amaliy|ta'sirli|ta'sirchan|kor qiladigan|o'z kuchini saqlagan ta'sir,adjective,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13858|i5143
validate,tasdiqlamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i23960|i25060|i26644|i34113
validating,tasdiqlovchi|tas-diqlovchi|tasdiqlaydigan|ikkinchi darajali|uncha ahamiyatli bo'lmagan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13050
validation,dalil|isbot|o'matish|lasdiqlash|barpo qilish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36223|i67496
validatory,tasdiqlovchi|tas-diqlovchi|tasdiqlaydigan|ikkinchi darajali|uncha ahamiyatli bo'lmagan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13050
validity,qonuniylik|talabchanlik|qattiqqo'llik|qonunga asoslanganlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62145|i62278
validness,qonuniylik|qonunga asoslanganlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62278
valise,chamadon,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60764
valley,uva|vodiy,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i86379
valor,jasoral|jasorat|mardlik|bolirlik|botirlik|dadillik|jasurlik|dovyuraklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62515
valorous,mard|bolir|jasur|dovyurak,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i1482
valorousness,jasoral|jasorat|mardlik|bolirlik|botirlik|dadillik|jasurlik|dovyuraklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62515
valour,jasoral|jasorat|mardlik|bolirlik|botirlik|dadillik|jasurlik|dovyuraklik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i62515
valse,vals,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i38212
valuate,soliq|baholamoq|o'lchamoq|narx qo'ymoq|narx qo'y-moq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25125
valuation,baho|narx|reyting|baholash|hisoblash|narsaning bahosi|o'rganib chiqish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i106605|i67050
valuator,baholovchi|narx qo'yuvchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88264
value,baho|narx|qiymat,noun,A2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i107228|i116730|i63169|i63992|i67646|i67963
value,soliq|baholamoq|ko'larmoq|o'lchamoq|narx qo'ymoq|narx qo'y-moq|ko'tarib qo'ymoq|yuqori baholamoq,verb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i25125|i25180|i33017
valued,qimmatli|qimmatbaho,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i10508|i14358
valueless,hech narsaturmaydigan|hech narsaga arzimaydigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13887
valuer,baholovchi|narx kesuvchi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i93886
valve,klapan,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i45342|i45343|i60767|i60768|i65326
vamoose,qochib ketmoq|qochib qolmoq|qutulib qolmoq|o'tkazib yubormoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i31790
vamp,tannoz ayol|ishvagar ayol|poyafzalning old qismi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60771|i73608|i89227
vamp,kashf etmoq|o'ylab chiqarmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i29918
vamp up,kashf etmoq|o'ylab chiqarmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i29918
vamper,tannoz ayol|ishvagar ayol|poyafzalning old qismi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89227
van,ilg'or|karvon|oldinda boruvchi otrad,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60773|i80273|i81542
vane,fluger,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i45300|i50827|i60776|i61050
vanguard,ilg'or|oldinda boruvchi otrad,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i69164|i80273|i81542
vanilla,vanil,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i100671|i66950|i78284
vanilla extract,vanil,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i78284
vanillin,vanilin,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i100673
vanish,yo'qolmoq|yo'q bo'lmoq|g'oyib bo'lmoq|yo'q bo'lib ketmoq,verb,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22473|i23860|i23861|i32113|i32533
vanity,xolilik|bo'shlik|manmanlik|bezatuvchi|behuda urinish|ortiqcha harakat|o'ziga ortiqcha ishonish|o'zinigina yaxshi ko'rish,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i53152|i62670|i64004|i76209
vanquish,urmoq|yengmoq|savalamoq|tushirmoq|kaltaklamoq|do'pposlamoq|ezib yubormoq|g'alaba qozonmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i27103
vanquishable,yengib bo'ladigan|yengish mumkin bo'lgan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i3174
vanquisher,g'olib|muzaffar|zabl etgan kishi|g'alaba qozongan kishi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i89175
vantage,afzallik|ortiqlik|ustunlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64076|i82537
vapid,bemaza|tamsiz|mazasiz|ta'msiz,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13283
vapidity,mazasizlik|ta'msizlik|mazasi yo'qlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64328
vapidness,mazasizlik|ta'msizlik|mazasi yo'qlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i64328
vapor,bug'lantirmoq|bug'ga aylantirmoq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108035
vaporific,manman|maqtanchoq,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12529
vaporing,qarg'a|kerilish|manmanlik|maqlanish|kallagapirish|maqtanchoqlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i74657
vaporisation,bug'lantirmoq|bug'ga aylantirmoq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108035
vaporise,bug'lamoq|gazlashlirmoq|bug'Iab tozalamoq|gazga aylantirmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i23569|i23935|i24630|i24631
vaporish,manman|maqtanchoq,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12529
vaporization,bug'lantirmoq|bug'ga aylantirmoq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108035
vaporize,bug'lamoq|o'ldirmoq|yo'qolmoq|halok qilmoq|yo'q bo'lmoq|gazlashlirmoq|g'oyib bo'lmoq|otib o'ldirmoq|bug'Iab tozalamoq|gazga aylantirmoq|yo'q bo'lib ketmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22473|i23569|i23935|i28309
vaporous,xira|tiniq|yupqa|manman|shaffof|ingichka|maqtanchoq|nisbiy emas|sal-pal bilinadigan|qiyos qilinmasdan olingan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12529|i13359
vapour,bug'lantirmoq|bug'ga aylantirmoq,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i108035
vapourific,manman|maqtanchoq,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12529
vapourish,manman|maqtanchoq,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12529
vapourous,xira|tiniq|yupqa|manman|shaffof|ingichka|maqtanchoq|nisbiy emas|sal-pal bilinadigan|qiyos qilinmasdan olingan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i12529|i13359
varan,echkemar,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i44214
variability,zidlik|ziddiyat|beqarorlik|betayinlik|qarori yo'qlik|o'zgarib turish|o'zgaruvchanlik|qarama-qarshilik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i61914|i62088
variable,beqaror|o'zgaruvchan|o'zgarib turadigan|doim bir xil turmaydigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13888|i13905|i5625
variable resistor,reostat,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i58145
variableness,zidlik|ziddiyat|beqarorlik|betayinlik|qarori yo'qlik|o'zgarib turish|o'zgaruvchanlik|qarama-qarshilik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i61914
variance,farq|harb|ayirma|zidlik|ixtilof|tafovut|variant|o'zgalik|ziddiyat|beqarorlik|betayinlik|har xillik|qarori yo'qlik|o'zgarib turish|o'zgaruvchanlik|qarama-qarshilik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36436|i41387|i61914|i61986|i68440|i74395|i75404
variant,tur|zot|farq|naql|nasi|ayirma|zidlik|rivoyat|tafovut|variant|o'zgalik|ust-bosh|ziddiyat|har xillik|taxminiy fikr|tashqi ko'rinish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i67567|i67693|i75404|i79808
variate,variant,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i67693
variation,naql|sport|zidlik|rivoyat|variant|ziddiyat|o'zgarish|tebranish|taxminiy fikr|qarama-qarshilik,noun,B2,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36436|i67567|i75251|i91516
varicella,suvchechak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i111195
varicolored,guldor|chilpor|ola-bula|olachipor|xilma-xil|rang-barang|turli-luman|turli tusdagi|har xil rangli,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13903|i2258
varicoloured,guldor|chilpor|ola-bula|olachipor|xilma-xil|rang-barang|turli-luman|turli tusdagi|har xil rangli,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13903|i2258
variegate,o'zgartirmoq|xilma-xil qilmoq|turli tusga kiritmoq|turli ranglar bilan bo'yamoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i23911|i24663
variegated,rang-barang|turli tusdagi|har xil rangli,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13903
variegation,guldor naqsh,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36439|i61917
variety,nav|tur|xil|farq|ayirma|varete|tafovut|o'zgalik|qorishma|ust-bosh|aralashma|har xillik|farq qilish|xilma-xillik|tashqi ko'rinish|navlarga ajratish,noun,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i61994|i61997|i67559|i73562|i79777|i81234
variety show,varete|xilma-xillik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i73562
variola,chechak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i111154
variola major,chechak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i111154
variorum,turli sharhlovchilarningsharhlarini kiritib qilingan nashr,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i71090
variorum edition,turli sharhlovchilarningsharhlarini kiritib qilingan nashr,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i71090
various,turli|har xil|egiluvchan|bukiluvchan|boshqa-boshqa|navlarga ajralilgan,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11327|i11334|i13906
varlet,razil|yaramas|tovlamachi|xizmatkor bola,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i91819|i92620
varment,sayoq|havoyi|takasaltang|valakisalang,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i42260
varmint,sayoq|havoyi|parazit|tekinxo'r|takasaltang|valakisalang,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i42260|i93903
varnish,lok,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60783
varsity,dorilfunun|universitet,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i79683|i80695
varsity letter,xat|noma,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i71748
vary,jo'namoq|o'zgartirmoq|jo'nab ketmoq|xilma-xil qilmoq|turli tusga kiritmoq|turli ranglar bilan bo'yamoq,verb,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i22376|i23911|i34973|i34976
varying,beqaror|o'zgaruvchan|o'zgarib turadigan|doim bir xil turmaydigan,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i13905
vas,kema,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i65336
vascular,tomirga oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i16335
vase,vaza|guidon,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60784
vaseline,vazelin,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60785
vassal,vassal,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i93891
vassalage,vassal qaramlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i110497
vast,keng|ko'p|katta|ulkan|bepoyon|g'oyat katta,adjective,B1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i7552
vastly,o'ta|ancha|behad|juda ham|nisbatan ko'p|haddan tashqari,adverb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i18185
vastness,buyuklik|ulug'lik|bepoyonlik|cheksizlik|ulug'vorlik|beo'lchovlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i63825
vat,bak|chan,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60613
vaticinate,karomat qilmoq|bashorat qilmoq|oldindan aytmoq|payg'ambarlik qilmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i26203|i26244
vaticination,belgi|alomat|karomat|nishona|bashorat|oldindan aytish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i67238
vaticinator,orakul|payg'ambar|og'irlik o'lchovi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i92299
vaudeville,vodevil,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i73563
vault,g'ov|to'siq|chetan devor,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36038
vault of heaven,ko'k|samo|doira|falak|osmon|empirey|osmon gumbazi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i81831
vaulted,gumbazsimon,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11214
vaulting,otning oldingi oyoqlarini bukib sakrashi,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i36908
vaulting horse,nan|erkak,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i60794
vaunter,maqtanchoq|iskanasimon asbob,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i88678
veal,buzoq go'shti,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i77210
veau,buzoq go'shti,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i77210
vector,radio|to'lqin uzatuvchi moslama,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i86382
veer,egmoq|bukmoq|so'ymoq|o'ldirmoq|dengiz bo'shatmoq|sekin-asla qo'yib yubormoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i24549|i31907
veering,farq|og'ish|burilish|muyulish|chetga chiqish,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i42027
veg,sabzavot,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i77501
veg out,o'smoq|rivojlanmoq|katta bo'lmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i21895
vegetable,sabzavot,noun,A1,CEFR-J 1.5,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i101266|i77501
vegetable marrow,qovoqcha,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i101047
vegetable oil,moy|yog',noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i77272
vegetable oyster,echkisoqol,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i100406
vegetal,o'simliklarga oid,adjective,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i11701|i14434
vegetarianism,et yemaslik|vegetarianlik,noun,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i76505
vegetate,o'smoq|rivojlanmoq|katta bo'lmoq,verb,,,UzWordNet 1.1 + Open English WordNet 2025,UzWordNet CC BY-SA 4.0; OEWN CC BY 4.0,i21895|i22050|i22875|i22880|i22881|i22882|i34750
